Entry	Mass	Gene names  (ordered locus )	Subunit structure [CC]
P07014	26,770	b0724 JW0714	SUBUNIT: Part of an enzyme complex containing four subunits: a flavoprotein, an iron-sulfur, cytochrome b-556, and a hydrophobic anchor protein. The complex forms trimers. {ECO:0000269|PubMed:12560550, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:16407191, ECO:0000269|PubMed:19710024}.
P0AFS9	49,058	b1856 JW5304	
P39386	44,688	b4337 JW4300	
P0ABR9	34,196	b0348 JW0339	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:8399388}.
P0AC65	9,139	b2673 JW2648	
P31134	41,931	b0855 JW5818	SUBUNIT: The complex is composed of two ATP-binding proteins (PotG), two transmembrane proteins (PotH and PotI) and a solute-binding protein (PotF). {ECO:0000269|PubMed:23719730, ECO:0000269|PubMed:8416922}.
P76027	37,188	b1246 JW1238	
P0AA16	27,354	b3405 JW3368	SUBUNIT: Monomer in solution. Up to 8 OmpR molecules bind to the ompF promoter; each 20 base pair (bp) region of the promoter binds 2 molecules of OmpR, which may only interact upon DNA-binding. Binds to direct repeats in the 20 bp DNA fragments (PubMed:7592927). At pH 7.1 protein is monomeric, as the pH decreases to 6.5 and 6.1 about 70% is dimeric, which is poorly phosphorylated. DNA-binding ability increases at acidic pH (PubMed:29138484). {ECO:0000269|PubMed:29138484, ECO:0000269|PubMed:7592927}.
P0AFG6	44,011	b0727 JW0716	SUBUNIT: Forms a 24-polypeptide structural core with octahedral symmetry (PubMed:9677295, PubMed:10739245). Part of the 2-oxoglutarate dehydrogenase (OGDH) complex composed of E1 (2-oxoglutarate dehydrogenase), E2 (dihydrolipoamide succinyltransferase) and E3 (dihydrolipoamide dehydrogenase); the complex contains multiple copies of the three enzymatic components (E1, E2 and E3) (Probable). Interacts with SucA (via N-terminus), the E1 component of OGDH complex (PubMed:17367808). {ECO:0000269|PubMed:10739245, ECO:0000269|PubMed:17367808, ECO:0000269|PubMed:9677295, ECO:0000305|PubMed:17367808}.
Q46891	29,217	b2739 JW2709	
P76077	35,499	b1388 JW1383	SUBUNIT: Forms a stable heterotetramer (dimer of heterodimers) with PaaC. {ECO:0000269|PubMed:20823522, ECO:0000269|PubMed:21247899}.
P76078	10,942	b1389 JW1384	SUBUNIT: Homotrimer. Forms a stable heterodimer with PaaC. Probably forms an oligomer with PaaAC. {ECO:0000269|PubMed:21247899}.
P76080	18,324	b1391 JW5217	SUBUNIT: Monomer. {ECO:0000269|PubMed:21247899}.
P0A7E3	23,567	b3642 JW3617	SUBUNIT: Homodimer. {ECO:0000269|PubMed:6349999, ECO:0000269|PubMed:8620002}.
P0A924	29,021	b1278 JW1270	
P33221	42,434	b1849 JW1838	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01643, ECO:0000269|PubMed:10913290, ECO:0000269|PubMed:11953435, ECO:0000305|PubMed:8117714}.
P0A9M8	77,172	b2297 JW2294	SUBUNIT: Homohexamer. {ECO:0000269|PubMed:20236319}.
P56580	33,332	b2703 JW5430	
P33596	19,424	b2698 JW2668	
P0AG44	14,365	b3294 JW3256	SUBUNIT: Part of the 50S ribosomal subunit (Ref.1, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:25310980, PubMed:24844575, PubMed:27934701, PubMed:27906160, PubMed:27906161). Contacts protein L32 (PubMed:2665813). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:2665813, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|Ref.1}.
P0A7K6	13,133	b2606 JW2587	SUBUNIT: Part of the 50S ribosomal subunit (PubMed:339951, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:25310980, PubMed:24844575 PubMed:27934701, PubMed:27906160, PubMed:27906161). Contacts L14 (PubMed:2665813, PubMed:16272117). Forms two bridges to the 30S subunit in the 70S ribosome, contacting the 16S rRNA. {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:2665813, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:339951}.
P0ADY7	15,281	b3313 JW3275	SUBUNIT: Part of the 50S ribosomal subunit (PubMed:786730, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:25310980, PubMed:24844575, PubMed:27934701, PubMed:27906160, PubMed:27906161). Cross-links to the A and P site tRNAs (PubMed:8524654). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:786730, ECO:0000269|PubMed:8524654}.
P58035	9,803	b4565 JW5967	
P39365	46,684	b4304 JW4266	
P39364	29,355	b4303 JW4265	
P39361	29,268	b4300 JW4262	
P39366	40,615	b4305 JW5776	
P0A823	26,229	b0146 JW0142	
P76502	17,208	b2340 JW2337	
P0AGM5	30,841	b1214 JW1205	
Q46755	14,639	b1213 JW1204	
P38392	19,244	b1353 JW5209	
P33595	63,975	b0069 JW0068	
C1P5Z7	5,338	b4662 JW0068.1	
P00490	90,522	b3417 JW5689	SUBUNIT: Homodimer.
P0AA04	9,119	b2415 JW2408	
P32672	37,086	b3949 JW3921	
P0A814	18,747	b1863 JW1852	SUBUNIT: Homodimer.
P75894	21,570	b1008 JW0993	
P0A7X3	14,856	b3230 JW3199	SUBUNIT: Part of the 30S ribosomal subunit (PubMed:1091515, PubMed:7556101, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:27934701, PubMed:12244297, PubMed:27906160, PubMed:27906161, PubMed:28077875). Contacts 16S rRNA (PubMed:7556101). Cross-links to the P site tRNA and weakly to the A site tRNA (PubMed:8524654, PubMed:15308780). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:1091515, ECO:0000269|PubMed:12244297, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:15308780, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:28077875, ECO:0000269|PubMed:7556101, ECO:0000269|PubMed:8524654}.
P0AG74	13,846	b0550 JW0538	SUBUNIT: Homodimer. {ECO:0000269|PubMed:14656440, ECO:0000269|PubMed:17028102, ECO:0000269|PubMed:9169457}.
P75893	17,749	b1007 JW5138	
P0ACU2	23,688	b1013 JW0998	SUBUNIT: Homodimer. {ECO:0000269|Ref.6}.
P75898	42,219	b1012 JW0997	
P75966	24,880	b1135 JW1121	
P0ADX9	21,678	b3465 JW3430	
P75719	17,226	b0556 JW5079	
P0AG93	35,382	b0409 JW0399	SUBUNIT: Part of the prokaryotic protein translocation apparatus which is comprised of SecA, SecB, SecD, SecE, SecF, SecG and SecY. The SecDF-YidC-YajC translocase forms a supercomplex with SecYEG, called the holo-translocon (HTL) (PubMed:27435098). The stoichiometry of the super complex may be SecYEG:YidC:SecDF 4:3:1, YajC is in the reconstituted complex (with SecDF) but as no antibody is available it could not be quantified (PubMed:27435098). {ECO:0000269|PubMed:27435098}.
P32166	33,594	b3930 JW3901	
P39371	39,572	b4310 JW5777	SUBUNIT: Homodimer. {ECO:0000269|PubMed:18063573}.
P31600	111,308	b0568 JW0557	SUBUNIT: (Microbial infection) Interacts with N4 phage non-contractile sheath protein; this interaction is essential for viral adsorption to the host. {ECO:0000269|PubMed:19011026}.
P0AFF2	43,476	b2393 JW2389	
P40120	62,758	b1424 JW1420	
P0A7E9	25,970	b0171 JW0166	SUBUNIT: Homohexamer. {ECO:0000269|PubMed:15857829, ECO:0000269|PubMed:7711027}.
P0A9J4	33,871	b0425 JW0415	SUBUNIT: Monomer. {ECO:0000269|PubMed:11724562, ECO:0000269|PubMed:15966718, ECO:0000269|PubMed:17229734, ECO:0000269|PubMed:17242510}.
P31057	28,237	b0134 JW0130	SUBUNIT: Homodecamer; pentamer of dimers. {ECO:0000269|PubMed:12906829, ECO:0000269|PubMed:6463}.
P02919	94,293	b0149 JW0145	SUBUNIT: Forms a trimeric complex with MipA and MltA. Has also been shown to exist as monomer or homodimer; homodimer of Alpha and Gamma isozymes can be found. Interacts with UvrA, FtsL and FtsN. {ECO:0000269|PubMed:10037771, ECO:0000269|PubMed:19458048}.
P0ACQ4	34,276	b3961 JW3933	SUBUNIT: Homodimer and homotetramer.
P08244	26,350	b1281 JW1273	SUBUNIT: Homodimer. {ECO:0000269|PubMed:10757968, ECO:0000269|PubMed:11526316, ECO:0000269|PubMed:12054799}.
P75897	25,209	b1011 JW5139	
P77649	54,382	b1706 JW1696	
P27253	77,871	b2917 JW2884	SUBUNIT: Homodimer. Interacts with ArgK. {ECO:0000269|PubMed:18950999}.
P0AA47	49,538	b2014 JW5330	
P77272	49,802	b2429 JW2422	
P0A786	34,427	b4245 JW4204	SUBUNIT: Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2). {ECO:0000269|PubMed:6377306}.
P0AF93	13,612	b4243 JW5755	SUBUNIT: Homotrimer. {ECO:0000269|PubMed:10595546}.
P21338	29,618	b0611 JW0603	SUBUNIT: Monomer.
P75876	44,357	b0967 JW5898	SUBUNIT: Homodimer. {ECO:0000269|PubMed:18789337}.
P38104	45,968	b1581 JW1573	
P39286	39,193	b4161 JW4122	SUBUNIT: Monomer (Probable). All of the protein is associated with ribosomes; the ratio is substoichiometric at 1:200 RsgA/ribosome (PubMed:14973029). Association is tightest with the 30S subunit in the presence of the non-hydrolyzable GTP analog GMP-PNP (PubMed:14973029, PubMed:15466596). 2 cryoelectron microscopy (cryo-EM) structures in complex with 30S ribosomes have been resolved; the protein is determined to bind to different but partially overlapping regions of the 30S ribosomal subunit (PubMed:21788480, PubMed:21960487). One cryo-EM study suggests it contacts ribosomal proteins S3, S12 and S13 as well as 16S rRNA (PubMed:21788480). Another cryo-EM study shows it to bind 16S rRNA, no ribosomal proteins, and to cover the sites of intersubunit bridges B2a, B3 and B7a (PubMed:21960487). Has a significant preference for mature versus immature 30S ribosomes in the presence of GMP-PNP (PubMed:21102555, PubMed:27382067). Another study shows it binds equally well to mature and immature 30S ribosomal subunits in the presence of GMP-PNP (PubMed:25904134). {ECO:0000269|PubMed:14973029, ECO:0000269|PubMed:15466596, ECO:0000269|PubMed:21102555, ECO:0000269|PubMed:21788480, ECO:0000269|PubMed:21960487, ECO:0000269|PubMed:25904134, ECO:0000269|PubMed:27382067, ECO:0000305|PubMed:12220175}.
P21889	65,913	b1866 JW1855	SUBUNIT: Homodimer.
P27830	39,754	b3788 JW5598	SUBUNIT: Homodimer. {ECO:0000269|Ref.8}.
P37745	21,270	b2038 JW2023	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P26394}.
P0ADR6	41,905	b2806 JW2777	SUBUNIT: Monomer. {ECO:0000269|PubMed:22923526}.
P37765	32,711	b1269 JW1261	
P37680	25,561	b3583 JW3555	
P37678	23,445	b3581 JW3553	SUBUNIT: Homodimer. {ECO:0000250}.
P37679	32,455	b3582 JW5650	
P39363	15,638	b4302 JW4264	
P0AEU7	17,688	b0178 JW0173	SUBUNIT: Homotrimer. Interacts with OmpA. Interacts with PhoE during its translocation across the inner membrane, but, in contrast to OmpA, release of PhoE from the inner membrane is not dependent on skp. Interacts also with LamB, OmpC and OmpF. {ECO:0000269|PubMed:15101556, ECO:0000269|PubMed:15304217, ECO:0000269|PubMed:15361861}.
P39362	23,214	b4301 JW4263	
P77754	18,199	b1743 JW1732	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:Q8XDZ4}.
P21170	73,898	b2938 JW2905	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:4571773}.
P08395	67,219	b1766 JW1755	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:18164727, ECO:0000269|PubMed:3522590}.
P80645	41,736	b0935 JW0918	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:10480865}.
P77589	41,551	b0353 JW5046	
P22523	170,230	b0924 JW0907	SUBUNIT: Homodimerization via its hinge domain. Binds to DNA via its C-terminal region. Interacts, and probably forms a ternary complex, with MukE and MukF via its C-terminal region. The complex formation is stimulated by calcium or magnesium. Interacts with tubulin-related protein FtsZ. Identified in a complex with SpoT; IscS and ACP. Interacts with the ParC subunit of topoisomerase IV. {ECO:0000269|PubMed:10545099, ECO:0000269|PubMed:12885413, ECO:0000269|PubMed:1464330, ECO:0000269|PubMed:20921377, ECO:0000269|PubMed:9688555}.
P16926	39,530	b3250 JW3219	SUBUNIT: Self-associates. Interacts with MreB and MreD. {ECO:0000269|PubMed:15612918}.
P64453	6,646	b1445 JW5232	
P22259	59,643	b3403 JW3366	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_00453, ECO:0000269|PubMed:11724534, ECO:0000269|PubMed:12837799, ECO:0000269|PubMed:1701430, ECO:0000269|PubMed:17475535, ECO:0000269|PubMed:6986370, ECO:0000269|PubMed:8599762, ECO:0000269|PubMed:9406547, ECO:0000269|Ref.20, ECO:0000269|Ref.21}.
P0A9I5	9,469	b2207 JW2195	SUBUNIT: Monomer in solution (PubMed:17901208). Interacts with the cytoplasmic NapA precursor (Ref.9, PubMed:17901208, PubMed:22329966, PubMed:24314029). {ECO:0000269|PubMed:17901208, ECO:0000269|PubMed:22329966, ECO:0000269|PubMed:24314029, ECO:0000269|Ref.9}.
P04391	36,907	b4254 JW4211	SUBUNIT: In E.coli strain K12, trimer of identical or non-identical chains are composed of ArgI (I) and/or ArgF (F) (PubMed:6369246, PubMed:4558857, PubMed:789338). The trimer has the following composition: FFI, FFF, FII, III (PubMed:6369246, PubMed:4558857, PubMed:789338). E.coli strains B and W, which are known to contain only ArgI, produce only a trimer of identical chains (III). {ECO:0000269|PubMed:10747936, ECO:0000269|PubMed:4558857, ECO:0000269|PubMed:6369246, ECO:0000269|PubMed:789338, ECO:0000269|PubMed:9253409, ECO:0000269|PubMed:9275160}.
P32675	32,430	b3952 JW3924	
P32156	12,265	b3901 JW3872	SUBUNIT: Homodimer. {ECO:0000269|PubMed:15876375}.
P0AG18	17,780	b0523 JW0512	SUBUNIT: Homooctamer. {ECO:0000269|PubMed:10574791}.
P06615	29,627	ECOK12F044	
P0A7L3	13,497	b1716 JW1706	SUBUNIT: Part of the 50S ribosomal subunit (PubMed:381019, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:25310980, PubMed:24844575, PubMed:27934701, PubMed:27906160, PubMed:27906161). Contacts L21 (PubMed:2665813). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:2665813, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:381019}.
P0A7N9	6,372	b3636 JW3611	SUBUNIT: Part of the 50S ribosomal subunit (PubMed:786732, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:25310980, PubMed:24844575, PubMed:27934701, PubMed:27906160, PubMed:27906161). Cross-links to the P and E site tRNAs (PubMed:8524654). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:786732, ECO:0000269|PubMed:8524654}.
P0A9J0	55,364	b3247 JW3216	SUBUNIT: Homodimer, in equilibrium with possible higher multimers. {ECO:0000305|PubMed:14622423, ECO:0000305|PubMed:15197283, ECO:0000305|PubMed:18078441}.
P10408	102,023	b0098 JW0096	SUBUNIT: Monomer and homodimer; probably dimeric in the cytoplasm. It is not yet clear whether the form that functions in protein insertion is monomeric or dimeric. Part of the essential protein translocation apparatus which comprises SecA, SecYEG and auxiliary proteins SecDF-YajC and YidC. Makes direct contact with SecY.
P76149	49,718	b1525 JW5247	SUBUNIT: Homodimer. {ECO:0000269|PubMed:7011797}.
P76397	44,464	b2074 JW5338	SUBUNIT: Part of a tripartite efflux system composed of MdtA, MdtB and MdtC.
P29208	35,477	b2261 JW2256	
P0C066	40,113	b2963 JW5481	
P0AFC0	17,306	b1865 JW1854	
P36647	15,622	b0108 JW0104	
Q46877	54,234	b2710 JW2680	SUBUNIT: Homotetramer.
P52006	16,371	b2251 JW2245	SUBUNIT: Monomer. {ECO:0000269|PubMed:16766526}.
P77788	15,046	b1759 JW1748	SUBUNIT: Monomer. {ECO:0000269|PubMed:22414689}.
P33136	57,912	b1048 JW1035	
P0AFF0	52,044	b2276 JW2271	SUBUNIT: NDH-1 is composed of 13 different subunits. Subunits NuoA, H, J, K, L, M, N constitute the membrane sector of the complex.
P02931	39,333	b0929 JW0912	SUBUNIT: Homotrimer (PubMed:2464593, PubMed:16079137). Forms mixed heterotrimers with OmpC and with PhoE; other mixed heterotrimers are also probable (PubMed:2464593). {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:2464593}.
P0AFF4	46,389	b2964 JW2932	
P0AFF6	54,871	b3169 JW3138	SUBUNIT: Monomer. Binds directly to the core enzyme of the DNA-dependent RNA polymerase (RNAP) (PubMed:6263495, PubMed:1856861). Interacts with nascent RNA (PubMed:7536848). Interacts with the termination Rho factor (PubMed:6096352). Interacts with the phage lambda N protein (PubMed:6154941). Interacts with SuhB via the AR2 domain, crystallizes as a 2:1 SuhB:NusA heterotrimer. The rRNA transcription and antitermination complex (rrnTAC) consists of RNAP, NusA, NusB, NusE (rpsJ), NusG, SubB, ribosomal protein S4, DNA and precursor rRNA; S4 is more flexible than other subunits (PubMed:31020314, PubMed:31127279). NusG and the alpha-CTD of RNAP interact with the AR2 domain (PubMed:31127279). {ECO:0000255|HAMAP-Rule:MF_00945, ECO:0000269|PubMed:1856861, ECO:0000269|PubMed:31020314, ECO:0000269|PubMed:31127279, ECO:0000269|PubMed:6096352, ECO:0000269|PubMed:6154941, ECO:0000269|PubMed:6263495, ECO:0000269|PubMed:7536848}.; SUBUNIT: (Microbial infection) Interacts (via N-terminus and AR2 domain) with Escherichia phage lambda antitermination protein Q; this interaction (AR2 domain) releases the autoinhibition of NusA. {ECO:0000269|PubMed:32313022}.
P0AFG3	105,062	b0726 JW0715	SUBUNIT: Homodimer (PubMed:17367808). Part of the 2-oxoglutarate dehydrogenase (OGDH) complex composed of E1 (2-oxoglutarate dehydrogenase), E2 (dihydrolipoamide succinyltransferase) and E3 (dihydrolipoamide dehydrogenase); the complex contains multiple copies of the three enzymatic components (E1, E2 and E3) (Probable). Interacts (via N-terminus) with SucB, the E2 component of OGDH complex (PubMed:17367808). {ECO:0000269|PubMed:17367808, ECO:0000305|PubMed:17367808}.
P15043	68,364	b3822 JW5855	
P0A7R1	15,769	b4203 JW4161	SUBUNIT: Part of the 50S ribosomal subunit. {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:10756104, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|Ref.1}.
P0A9N0	9,810	b3206 JW3173	
P27241	32,920	b3624 JW3599	
P25741	30,872	b3630 JW3605	
P27129	39,040	b3626 JW3601	
P56980	2,588	ECOK12F007	
P25539	40,338	b0414 JW0404	SUBUNIT: Homodimer. {ECO:0000269|PubMed:17765262}.
P61714	16,157	b0415 JW0405	SUBUNIT: Forms a hollow icosahedral capsid composed of 60 subunits, probably arranged as a dodecamer of pentamers. Unlike in B.subtilis, does not interact with riboflavin synthase, and the core of the icosahedral capsid is empty. {ECO:0000269|PubMed:8969176}.
P0A7M9	7,871	b3936 JW3907	SUBUNIT: Part of the 50S ribosomal subunit. {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:339950}.
P0A7Y0	25,550	b2567 JW2551	SUBUNIT: Homodimer. {ECO:0000269|PubMed:932008}.
P0A8R0	17,360	b3929 JW3900	SUBUNIT: Homotrimer. Forms a ring-like structure with a central cavity. Binds to both RNA-binding sites in the C-terminal region of Rne and to RhlB. {ECO:0000269|PubMed:14499605}.
P76350	47,817	b1981 JW1962	
P0AFX7	24,321	b2572 JW2556	SUBUNIT: Interacts 1:1 with ECF RNA polymerase sigma-E (RpoE); this inhibits the interaction of sigma-E with the RNA polymerase catalytic core and leads to a decreased expression of sigma-E-regulated genes. Interacts with RseB with 1:1 stoichiometry. The liberated N-terminus (residues 1-108) forms a complex with SspB and RpoE; binding to SspB is competitively inhibited by ssrA-tags, although the 2 proteins bind in opposite directions in SspB's peptide-binding groove. {ECO:0000269|PubMed:11777003, ECO:0000269|PubMed:12016219, ECO:0000269|PubMed:12718891, ECO:0000269|PubMed:14633997, ECO:0000269|PubMed:15371343, ECO:0000269|PubMed:15880122, ECO:0000269|PubMed:17360428, ECO:0000269|PubMed:17692869, ECO:0000269|PubMed:18268014, ECO:0000269|PubMed:18421143, ECO:0000269|PubMed:20512978, ECO:0000269|PubMed:23687042, ECO:0000269|PubMed:9159522, ECO:0000269|PubMed:9159523}.
P36929	48,348	b3289 JW3250	
P0AGE9	29,777	b0729 JW0718	SUBUNIT: Heterotetramer of two alpha and two beta subunits. {ECO:0000255|HAMAP-Rule:MF_01988, ECO:0000269|PubMed:8144675, ECO:0000269|PubMed:9917402}.
P80644	21,253	b0937 JW0920	SUBUNIT: Homodimer.
P33227	19,284	b1157 JW5172	
P77515	32,902	b1547 JW1540	
P76072	113,780	b1372 JW1366	
P0A8G0	68,188	b1913 JW1898	SUBUNIT: Interacts with UvrB in an incision complex.
P31142	30,812	b2521 JW2505	SUBUNIT: Monomer. {ECO:0000269|PubMed:14672665}.
P31549	59,533	b0067 JW0066	SUBUNIT: The complex is composed of two ATP-binding proteins (ThiQ), two transmembrane proteins (ThiP) and a solute-binding protein (ThiB). {ECO:0000250|UniProtKB:Q8ZRV1}.
P31548	24,999	b0066 JW0065	SUBUNIT: The complex is composed of two ATP-binding proteins (ThiQ), two transmembrane proteins (ThiP) and a solute-binding protein (ThiB). {ECO:0000255|HAMAP-Rule:MF_01723}.
P0ADA1	23,622	b0494 JW0483	SUBUNIT: Monomer or homotetramer. {ECO:0000269|PubMed:12842470, ECO:0000269|PubMed:1864840, ECO:0000269|PubMed:4554913, ECO:0000269|PubMed:791643, ECO:0000269|PubMed:8098033}.
P0A7J3	17,712	b3985 JW3948	SUBUNIT: Part of the ribosomal stalk of the 50S ribosomal subunit (PubMed:15923259). The N-terminus interacts with L11 and the large rRNA to form the base of the stalk. The C-terminus forms an elongated spine to which 2 L12 dimers bind in a sequential fashion forming a pentameric L10(L12)(L12)2 complex. Two L12 dimers associate with a copy of L10 to form a very strong complex (called L8). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:15923259, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:773698, ECO:0000269|PubMed:782920, ECO:0000269|PubMed:797648}.
P0A7V0	26,744	b0169 JW0164	SUBUNIT: Part of the 30S ribosomal subunit, contacts S1 (PubMed:12068815). Some nascent polypeptide chains are able to cross-link to this protein in situ (PubMed:9716382). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12068815, ECO:0000269|PubMed:12244297, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:28077875, ECO:0000269|PubMed:7023985, ECO:0000269|PubMed:7556101, ECO:0000269|PubMed:9716382}.
P0AFR0	33,067	b1234 JW1222	
P52045	29,173	b2919 JW2886	SUBUNIT: Dimer of homotrimers. {ECO:0000269|PubMed:10769118}.
P0AFY8	20,315	b0687 JW0674	SUBUNIT: Homodimer. Polymerizes to form helical filaments. Dimerization is sufficient for DNA-binding, but oligomerization is essential for function. {ECO:0000255|HAMAP-Rule:MF_00908, ECO:0000269|PubMed:12379844, ECO:0000269|PubMed:14704346, ECO:0000269|PubMed:15933720, ECO:0000269|PubMed:19304745}.
P60651	33,557	b2937 JW2904	
P76440	44,329	b2146 JW2133	SUBUNIT: Heterotetramer of 2 PreA and 2 PreT subunits. {ECO:0000269|PubMed:21169495}.
P18148	27,723	ECOK12F064	
P75745	34,386	b0712 JW0702	SUBUNIT: Forms a complex composed of PxpA, PxpB and PxpC. {ECO:0000250|UniProtKB:Q7WY77}.
P15639	57,329	b4006 JW3970	
P27243	46,878	b3622 JW3597	
Q47274	14,176	b0551 JW0539	
P32171	54,069	b3904 JW3875	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_01535, ECO:0000269|PubMed:16674975}.
P0AG40	34,734	b0025 JW0023	
P0A7T7	8,986	b4202 JW4160	SUBUNIT: Part of the 30S ribosomal subunit (PubMed:776663, PubMed:7556101, PubMed:10094780, PubMed:12244297, PubMed:12809609, PubMed:16272117, PubMed:27934701, PubMed:27906160, PubMed:27906161). Forms a tight heterodimer with protein S6. {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12244297, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:7556101, ECO:0000269|PubMed:776663}.
P0A7R9	13,845	b3297 JW3259	SUBUNIT: Part of the 30S ribosomal subunit (PubMed:7007074, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:27934701, PubMed:12244297, PubMed:27906160, PubMed:27906161, PubMed:28077875). Interacts with proteins S7 and S18 (By similarity). Cross-links to IF-3 (PubMed:7000779, PubMed:7020604, PubMed:6349681). {ECO:0000250, ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12244297, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:28077875, ECO:0000269|PubMed:6349681, ECO:0000269|PubMed:7000779, ECO:0000269|PubMed:7007074, ECO:0000269|PubMed:7020604}.
P68567	26,949	b3497 JW5672	
P0AGH3	36,038	b1293 JW1286	
P07026	28,117	b1916 JW1901	
P52043	53,824	b2920 JW2887	
P14081	68,867	b3590 JW3563	
P68191	5,096	b1480 JW5962	SUBUNIT: Associates exclusively with the 30S subunit; there is 0.1 copy per ribosome in the exponential phase and 0.4 copies per ribosome in the stationary phase. This is also true for several other K12 derivatives and strain B/R. {ECO:0000269|PubMed:11292794}.
P16689	42,010	b4095 JW4056	
P0A7P5	5,380	b3703 JW3680	SUBUNIT: Part of the 50S ribosomal subunit. {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:783033}.
